hour,Mon,Die,Mit,Do,Fr,Sa,So
0,18.3,18.3,18.5,18.7,18.8,19.5,19.8
1,18.3,18.3,18.5,18.7,18.7,19,19.2
2,18.2,18.2,18.3,18.5,18.5,18.8,18.8
3,17.5,17.5,17.5,17.7,17.7,18.3,18.5
4,16.8,16.8,16.8,17,17.2,17.8,18
5,17.5,17.5,17.5,17.5,17.5,17.8,17.7
6,20,20.2,19.8,19.8,19.3,18,17.7
7,23.8,24,23.8,23.7,22.3,18.2,18
8,26.2,26.8,26.2,26.3,23.3,18.8,18.3
9,24.2,25,24.3,24.5,22.8,20,19.2
10,23,23.5,23.2,23.5,23.2,21.3,20.2
11,23,23.5,23.3,23.7,23.8,22.7,21.3
12,23.3,23.7,23.7,24.2,25.3,23.7,22.3
13,23.3,23.7,23.8,24.2,26.5,24.2,22.8
14,24,24.5,24.5,25.2,27.3,24.5,23.2
15,25.3,26.3,26,27.2,27.3,24.2,22.8
16,26,27.5,27,28.3,26.2,24,22.8
17,25.7,27.2,27,27.8,25.3,23.8,22.7
18,24,25.2,25.2,25.7,24.3,23.7,22.2
19,21.7,22,22.3,22.3,22.7,22.7,21.2
20,20.3,20.5,20.8,20.7,21.7,21.8,20.3
21,19.5,19.8,20,20.2,20.8,20.8,19.7
22,19.2,19.3,19.7,19.8,20.5,20.8,19.2
23,18.5,18.8,19,19.2,20.2,20.5,18.5
